BOWLING,over,Mins,Runs,Wicket,Economy,Zeros,fours,sixs,Wide,Noball,counter
Mohammed Siraj,2,0,28.0,0,14.00,4,3,2,1,0,49
Glenn Maxwell,1.4,0,14.0,0,8.40,4,1,1,0,0,49
Josh Hazlewood,3,0,29.0,1,9.66,9,2,2,0,1,49
Wanindu Hasaranga,4,0,32.0,0,8.00,9,2,2,0,0,49
Karn Sharma,3,0,33.0,1,11.00,4,4,1,0,0,49
Mahipal Lomror,1,0,13.0,0,13.00,1,1,1,0,0,49
Harshal Patel,2,0,32.0,1,16.00,4,2,3,1,0,49
Mohammed Shami,4,0,37.0,1,9.25,9,3,2,1,0,50
Hardik Pandya,3,0,37.0,0,12.33,6,6,1,2,0,50
Rashid Khan,4,0,34.0,1,8.50,6,1,2,0,0,50
Noor Ahmad,4,0,26.0,1,6.50,11,4,0,1,0,50
Mohit Sharma,4,0,29.0,4,7.25,9,1,2,1,0,50
Alzarri Joseph,1,0,5.0,0,5.00,4,1,0,0,0,50
Sandeep Sharma,4,0,48.0,0,12.00,5,5,2,0,1,51
Kuldip Yadav,4,0,50.0,1,12.50,5,2,4,0,0,51
Ravichandran Ashwin,4,0,35.0,1,8.75,5,2,1,3,0,51
Yuzvendra Chahal,4,0,29.0,4,7.25,11,3,1,0,0,51
Murugan Ashwin,3,0,42.0,0,14.00,3,2,4,0,0,51
Obed McCoy,1,0,13.0,0,13.00,2,1,1,1,0,51
Rishi Dhawan,2,0,15.0,0,7.50,5,2,0,0,0,52
Arshdeep Singh,4,0,39.0,0,9.75,10,6,1,1,0,52
Nathan Ellis,4,0,29.0,1,7.25,7,2,1,0,0,52
Sam Curran,3,0,44.0,0,14.66,5,5,3,1,0,52
Liam Livingstone,2,0,27.0,0,13.50,2,4,1,0,0,52
Harpreet Brar,1,0,4.0,1,4.00,2,0,0,0,0,52
Rahul Chahar,4,0,23.0,2,5.75,8,1,0,1,0,52
Mohammed Siraj,3,0,31.0,0,10.33,10,2,3,1,0,53
Josh Hazlewood,3,0,32.0,0,10.66,7,5,1,1,0,53
Wanindu Hasaranga,4,0,53.0,2,13.25,5,2,5,1,0,53
Vijaykumar Vyshak,3,0,37.0,2,12.33,7,2,3,1,1,53
Harshal Patel,3.3,0,41.0,0,11.71,3,5,1,1,1,53
Deepak Chahar,3,0,28.0,2,9.33,10,3,2,1,0,54
Tushar Deshpande,3,0,18.0,0,6.00,9,1,1,0,0,54
Maheesh Theekshana,2,0,16.0,0,8.00,2,0,1,0,0,54
Ravindra Jadeja,4,0,19.0,1,4.75,10,1,0,0,0,54
Moeen Ali,4,0,16.0,0,4.00,13,0,1,0,0,54
Matheesha Pathirana,4,0,37.0,3,9.25,11,5,1,4,0,54
Nitish Rana,1.0,0,26.0,0,26.0,0,3,2,0,0,55
Harshit Rana,2.0,0,22.0,0,11.0,6,2,1,2,0,55
Shardul Thakur,1.1,0,18.0,0,15.42,1,4,0,0,0,55
Varun Chakravarthy,3.0,0,28.0,0,9.33,10,3,2,1,0,55
Sunil Narine,2.0,0,13.0,0,6.5,5,0,1,0,0,55
Suyash Sharma,3.0,0,22.0,0,7.33,7,2,1,0,0,55
Anukul Roy,1.0,0,20.0,0,20.0,1,0,3,0,0,55
Jason Behrendorff,4,0,37.0,1,9.25,8,5,1,1,0,56
Akash Madhwal,4,0,31.0,3,7.75,11,4,1,0,0,56
Chris Jordan,4,0,34.0,0,8.50,9,3,2,0,0,56
Piyush Chawla,4,0,36.0,2,9.00,7,4,1,0,0,56
Kumar Kartikeya,3,0,37.0,2,12.33,8,0,5,2,0,56
Cameron Green,1,0,13.0,0,13.00,3,0,2,0,0,56
Bhuvneshwar Kumar,4,0,30.0,0,7.50,8,3,1,0,0,57
Fazalhaq Farooqi,3.2,0,32.0,0,9.60,8,5,0,4,0,57
Glenn Phillips,2,0,10.0,1,5.00,5,1,0,0,0,57
T Natarajan,4,0,31.0,0,7.75,8,1,2,0,0,57
Mayank Markande,3,0,39.0,1,13.00,2,4,2,0,0,57
Abhishek Sharma,3,0,42.0,1,14.00,6,1,5,1,0,57
Rishi Dhawan,1,0,10.0,0,10.00,2,2,0,0,0,58
Sam Curran,2,0,18.0,0,9.00,4,3,0,0,0,58
Harpreet Brar,4,0,30.0,4,7.50,11,5,0,1,0,58
Nathan Ellis,4,0,26.0,2,6.50,6,2,0,1,0,58
Arshdeep Singh,4,0,32.0,0,8.00,8,2,2,0,0,58
Rahul Chahar,4,0,16.0,2,4.00,18,3,0,1,0,58
Sikandar Raza,1,0,3.0,0,3.00,3,0,0,0,0,58
Mohammed Siraj,2,0,10.0,1,5.00,9,2,0,1,0,59
Wayne Parnell,3,0,10.0,3,3.33,12,1,0,1,0,59
Michael Bracewell,3,0,16.0,2,5.33,10,1,1,0,0,59
Karn Sharma,1.3,0,19.0,2,12.66,5,0,3,0,0,59
Glenn Maxwell,1,0,3.0,1,3.00,4,0,0,0,0,59
Deepak Chahar,3,0,27.0,3,9.00,7,3,1,2,0,60
Tushar Deshpande,3.3,0,25.0,0,7.14,11,2,1,2,0,60
Moeen Ali,4,0,31.0,0,7.75,8,5,0,0,0,60
Maheesh Theekshana,3,0,22.0,0,7.33,3,2,0,0,0,60
Matheesha Pathirana,3,0,23.0,0,7.66,8,1,0,2,1,60
Ravindra Jadeja,2,0,18.0,0,9.00,4,0,2,0,0,60
Mohammed Shami,4,0,21.0,4,5.25,13,1,1,0,0,61
Yash Dayal,4,0,31.0,1,7.75,11,4,0,4,0,61
Rashid Khan,4,0,28.0,0,7.00,6,1,1,0,0,61
Mohit Sharma,4,0,28.0,4,7.00,12,3,1,0,0,61
Noor Ahmad,2.5,0,35.0,0,12.35,3,3,2,1,0,61
Rahul Tewatia,1.1,0,7.0,0,6.00,3,1,0,0,0,61
Krunal Pandya,4,0,27.0,0,6.75,10,4,0,0,0,62
Mohsin Khan,3,0,26.0,1,8.66,8,1,2,2,0,62
Naveen-ul-Haq,4,0,37.0,0,9.25,8,1,3,0,1,62
Yash Thakur,4,0,40.0,2,10.00,9,2,2,5,1,62
Swapnil Singh,1,0,11.0,0,11.00,1,2,0,0,0,62
Ravi Bishnoi,4,0,26.0,2,6.50,9,2,0,1,0,62
Khaleel Ahmed,3,1,20.0,1,6.66,14,1,2,0,1,63
Ishant Sharma,3,0,36.0,2,12.00,10,5,2,0,1,63
Anrich Nortje,4,0,36.0,2,9.00,11,2,3,0,0,63
